nome;uf;cod_tse;cod_ibge
TRINDADE DO SUL;RS;85006;4321956
TR?S PASSOS;RS;89419;4321907
TR?S PALMEIRAS;RS;86142;4321857
TR?S FORQUILHAS;RS;88005;4321832
TR?S DE MAIO;RS;89397;4321808
TR?S COROAS;RS;89370;4321709
TR?S CACHOEIRAS;RS;85367;4321667
TR?S ARROIOS;RS;84743;4321634
TRAVESSEIRO;RS;87980;4321626
TRAMANDA?;RS;89354;4321600
TORRES;RS;89338;4321501
TOROPI;RS;88900;4321493
TIRADENTES DO SUL;RS;87963;4321477
TIO HUGO;RS;89508;4321469
TEUT?NIA;RS;98213;4321451
TERRA DE AREIA;RS;85162;4321436
TENENTE PORTELA;RS;89311;4321402
TAVARES;RS;89710;4321352
TAQUARU?U DO SUL;RS;85669;4321329
TAQUARI;RS;89290;4321303
TAQUARA;RS;89273;4321204
TAPES;RS;89257;4321105
TAPERA;RS;89230;4321006
TAPEJARA;RS;89214;4320909
TABA?;RS;88722;4320859
SOLEDADE;RS;89192;4320800
SOBRADINHO;RS;89176;4320701
SINIMBU;RS;87947;4320677
SILVEIRA MARTINS;RS;84956;4320651
SEVERIANO DE ALMEIDA;RS;89133;4320602
SETE DE SETEMBRO;RS;88706;4320578
SERT?O SANTANA;RS;87920;4320552
SERT?O;RS;89117;4320503
S?RIO;RS;87904;4320453
SERAFINA CORR?A;RS;89095;4320404
SENTINELA DO SUL;RS;87882;4320354
SENADOR SALGADO FILHO;RS;88765;4320321
SELBACH;RS;89079;4320305
SEGREDO;RS;85529;4320263
SEDE NOVA;RS;85707;4320230
SEBERI;RS;89052;4320206
SARANDI;RS;89036;4320107
SAPUCAIA DO SUL;RS;89010;4320008
SAPIRANGA;RS;88994;4319901
S?O VICENTE DO SUL;RS;86754;4319802
S?O VENDELINO;RS;85383;4319752
S?O VAL?RIO DO SUL;RS;87866;4319737
S?O VALENTIM DO SUL;RS;87840;4319711
S?O VALENTIM;RS;88978;4319703
S?O SEP?;RS;88951;4319604
S?O SEBASTI?O DO CA?;RS;88935;4319505
S?O PEDRO DO SUL;RS;88919;4319406
S?O PEDRO DO BUTI?;RS;87823;4319372
S?O PEDRO DAS MISS?ES;RS;89486;4319364
S?O PEDRO DA SERRA;RS;87807;4319356
S?O PAULO DAS MISS?ES;RS;88897;4319307
S?O NICOLAU;RS;88870;4319208
S?O MIGUEL DAS MISS?ES;RS;85480;4319158
S?O MARTINHO DA SERRA;RS;87785;4319125
S?O MARTINHO;RS;88854;4319109
S?O MARCOS;RS;88838;4319000
S?O LUIZ GONZAGA;RS;88811;4318903
S?O LOUREN?O DO SUL;RS;88790;4318804
S?O LEOPOLDO;RS;88773;4318705
S?O JOS? DOS AUSENTES;RS;87726;4318622
S?O JOS? DO SUL;RS;89460;4318614
S?O JOS? DO OURO;RS;88757;4318606
S?O JOS? DO NORTE;RS;88730;4318507
S?O JOS? DO INHACOR?;RS;87742;4318499
