wdb_code,region,pt,iso3,ponto_lat,ponto_lon,is_small,continent5,continent7
MWI,Malawi,Malaui,MWI,-13.52,34.13,Yes,Africa,Africa
MYS,Malaysia,Malásia,MYS,3.63,101.98,NA,Asia,Asia
MDV,Maldives,Maldivas,MDV,-0.51,73.18,Yes,Asia,Asia
MLI,Mali,Mali,MLI,10.94,-2.51,NA,Africa,Africa
MLT,Malta,Malta,MLT,35.89,14.44,Yes,Europe,Europe
MHL,Marshall Islands,Ilhas Marshall,MHL,7.38,168.72,Yes,Oceania,Oceania
MRT,Mauritania,Mauritânia,MRT,19.99,-10.14,NA,Africa,Africa
MUS,Mauritius,Maurício,MUS,-20.28,57.57,Yes,Africa,Africa
MEX,Mexico,México,MEX,23.48,-102.25,NA,America,North America
FSM,Micronesia,Micronésia,FSM,7.04,151.65,Yes,Oceania,Oceania
MDA,Moldova,Moldávia,MDA,47.39,28.51,NA,Europe,Europe
MCO,Monaco,Mônaco,MCO,43.73,7.42,Yes,Europe,Europe
MNG,Mongolia,Mongólia,MNG,46.69,103.11,NA,Asia,Asia
MNE,Montenegro,Montenegro,MNE,42.79,19.24,Yes,Europe,Europe
MAR,Morocco,Marrocos,MAR,32.08,-6.19,NA,Africa,Africa
MOZ,Mozambique,Moçambique,MOZ,-17.88,35.46,NA,Africa,Africa
MMR,Myanmar,Mianmar,MMR,21.55,96.49,NA,Asia,Asia
